fuzz_cases,coverage_reached,mutation_aggressiveness
4797, 78.21428571428571, 25
4823, 78.39285714285714, 25
4913, 78.57142857142857, 25
5037, 78.75, 25
5150, 78.92857142857143, 25
5200, 79.10714285714285, 25
5733, 79.28571428571428, 25
6781, 79.46428571428571, 25
6955, 79.64285714285714, 25
7031, 79.82142857142858, 25
7683, 80.17857142857143, 25
8737, 80.35714285714286, 25
9947, 80.89285714285714, 25
10155, 81.07142857142857, 25
10341, 81.25, 25
10489, 81.42857142857143, 25
10717, 81.60714285714286, 25
10733, 81.78571428571428, 25
11500, 81.96428571428571, 25
14948, 82.14285714285714, 25
15126, 82.32142857142857, 25
15412, 82.5, 25
17767, 82.67857142857142, 25
18236, 82.85714285714286, 25
18624, 83.21428571428572, 25
19589, 83.39285714285715, 25
22139, 83.75, 25
25800, 84.28571428571429, 25
26217, 84.46428571428571, 25
26518, 84.64285714285714, 25
27001, 84.82142857142857, 25
27106, 85, 25
27975, 85.35714285714285, 25
28057, 85.53571428571428, 25
28550, 85.71428571428571, 25
29341, 85.89285714285714, 25
30017, 86.07142857142858, 25
32198, 86.25, 25
34234, 86.42857142857143, 25
35378, 86.78571428571429, 25
36137, 86.96428571428572, 25
37436, 87.5, 25
38480, 87.67857142857143, 25
38909, 87.85714285714286, 25
40374, 88.21428571428571, 25
40902, 88.39285714285714, 25
41713, 88.57142857142857, 25
43196, 88.75, 25
44283, 89.10714285714286, 25
45659, 89.28571428571429, 25
46758, 89.46428571428572, 25
49135, 89.64285714285715, 25
51570, 89.82142857142857, 25
55725, 90, 25
57655, 90.17857142857143, 25
58024, 90.35714285714286, 25
58946, 90.53571428571429, 25
59106, 91.07142857142857, 25
62053, 91.25, 25
66058, 91.42857142857143, 25
67182, 91.60714285714285, 25
70953, 91.78571428571428, 25
71592, 91.96428571428571, 25
75188, 92.14285714285714, 25
80056, 92.5, 25
83251, 92.67857142857143, 25
90557, 92.85714285714286, 25
91645, 93.21428571428572, 25
92193, 93.57142857142857, 25
92663, 93.75, 25
93847, 93.92857142857143, 25
93872, 94.10714285714286, 25
98079, 94.28571428571428, 25
107363, 94.46428571428571, 25
107646, 94.64285714285714, 25
108755, 94.82142857142857, 25
115941, 95, 25
117684, 95.17857142857142, 25
119265, 95.35714285714286, 25
120736, 95.53571428571429, 25
123482, 95.71428571428572, 25
161499, 95.89285714285715, 25
170425, 96.07142857142857, 25
173505, 96.60714285714286, 25
173743, 96.96428571428571, 25
177072, 97.14285714285714, 25
178450, 97.32142857142857, 25
193256, 97.5, 25
212894, 97.67857142857143, 25
212935, 97.85714285714285, 25
214372, 98.03571428571428, 25
265903, 98.21428571428571, 25
353019, 98.39285714285714, 25
355430, 98.57142857142858, 25
369709, 98.75, 25
455913, 98.92857142857143, 25
511613, 99.10714285714286, 25
517926, 99.28571428571429, 25
642971, 99.46428571428572, 25
689805, 99.64285714285714, 25
701509, 99.82142857142857, 25
889507, 100, 25
1, 10, 50
2, 11.785714285714285, 50
3, 12.321428571428573, 50
4, 12.5, 50
5, 14.285714285714285, 50
6, 14.464285714285715, 50
7, 16.071428571428573, 50
8, 16.607142857142858, 50
9, 17.32142857142857, 50
11, 17.67857142857143, 50
12, 21.428571428571427, 50
13, 21.607142857142858, 50
14, 21.785714285714285, 50
15, 22.5, 50
17, 23.92857142857143, 50
19, 24.821428571428573, 50
